ID,regaty,klub,miejsceWRegatach
46193988,40323829,OKZ,5
44307353,40323829,DZY,6
47657024,40323829,SZT,7
17852215,40323829,IS2,8
8236457,40323829,ODY,9
66871872,40323829,JKM,10
86314593,40323829,YCS,11
59820968,40323829,OD2,12
89231503,27131848,GIŻ,1
99714367,27131848,LEG,2
23524058,27131848,SZT,3
60973705,27131848,IS2,4
39934384,27131848,POG,5
22693835,27131848,JEZ,6
92878913,27131848,JKM,7
63955263,27131848,OKZ,8
36418766,27131848,DZY,9
89678562,27131848,ODY,10
1514820,27131848,OD2,11
71237603,27131848,YCS,12
26236808,79103275,ISK,1
74594206,79103275,YKP,2
96313000,79103275,YCG,3
85396166,79103275,GIŻ,4
33108480,79103275,POG,5
46419901,79103275,77R,6
91125391,79103275,SZT,7
21996004,79103275,OKŻ,8
82658750,79103275,LEG,9
26433599,79103275,DŻY,10
62195437,79103275,WOL,11
93370543,79103275,YCS,12
61398110,11291612,YKP,1
54994817,11291612,YCG,2
7006846,11291612,GIŻ,3
85274466,11291612,OKŻ,4
57006454,11291612,LEG,5
82081780,11291612,ISK,6
728035,11291612,SZT,7
18802261,11291612,YCS,8
74995793,11291612,DŻY,9
37983666,11291612,POG,10
28462948,11291612,WOL,11
5529980,11291612,77R,12
80943809,48680673,YKP,1
24943304,48680673,GIŻ,2
42051926,48680673,YCG,3
91928968,48680673,SZT,4
83825516,48680673,POG,5
88998741,48680673,OKŻ,6
75257190,48680673,ISK,7
52978203,48680673,WOL,8
17337247,48680673,LEG,9
72202387,48680673,YCS,10
59755142,48680673,DŻY,11
68708667,48680673,77R,12
26657375,78707344,YCG,1
79818563,78707344,GIŻ,2
95131864,78707344,YKP,3
64158984,78707344,POG,4
6016082,78707344,SZT,5
85958461,78707344,WOL,6
56706107,78707344,77R,7
87442201,78707344,LEG,8
22409607,78707344,ISK,9
64443138,78707344,OKŻ,10
15207471,78707344,YCS,11
89047821,78707344,DŻY,12
32547459,7819477,YCG,1
43381878,7819477,YKP,2
32427083,7819477,OKZ,3
90750320,7819477,POG,4
98362765,7819477,PGR,5
87842248,7819477,GIZ,6
76130980,7819477,SZT,7
33920165,7819477,ISK,8
46830683,7819477,LEG,9
47590799,7819477,YCS,10
41083592,7819477,PJK,11
39582170,7819477,GAR,12
12431284,7819477,ODY,13
76632750,7819477,JMZ,14
46986126,7819477,WOL,15
78344099,7819477,SPO,16
47605055,7819477,DZY,17
91783400,7819477,JSG,18
